,code,name,renumber,D,I
0,F0302000379,簇头沟,0,19,3.294736842
1,F0302000388,雁门沟,1,1,20
2,F0302000306,西河,2,1,20
3,F0302000310,野牛沟,3,1,20
4,F0302000311,无名沟,4,1,20
5,F0302000314,无名沟,5,1,20
6,F0302000317,无名沟,6,1,20
7,F0302000320,无名沟,7,1,20
8,F0302000321,大阴山沟,8,1,20
9,F0302000324,熊猫沟,9,1,20
10,F0302000331,无名沟,10,1,20
11,F0302000332,龙岩沟,11,1,20
12,F0302000333,中河,12,1,20
13,F0302000334,溴水沟,13,1,20
14,F0302000336,鹦哥嘴沟,14,1,20
15,F0302000337,小麻溪沟,15,1,20
16,F0302000340,长沟,16,1,20
17,F0302000341,转经楼村沟,17,1,20
18,F0302000342,牛圈沟,18,1,20
19,F0302000343,黄连沟,19,1,20
20,F0302000344,七层楼沟,20,1,20
21,F0302000345,卧龙关村沟,21,1,20
22,F0302000347,崔家磨子沟,22,1,20
23,F0302000348,银厂沟,23,11,9.972727273
24,F0302000349,中棚子沟,24,1,20
25,F0302000350,无名沟,25,1,20
26,F0302000351,清水驿沟,26,1,20
27,F0302000352,大阴沟,27,1,20
28,F0302000353,洱沟,28,1,20
29,F0302000354,瓦厂沟,29,1,20
30,F0302000355,磨子沟,30,1,20
31,F0302000356,贾家沟,31,1,20
32,F0302000357,火把沟,32,1,20
33,F0302000359,太平驿沟,33,1,20
34,F0302000360,龙眼沟,34,1,20
35,F0302000361,沙坪三村沟,35,1,20
36,F0302000362,野牛沟,36,1,20
37,F0302000363,高家沟,37,1,20
38,F0302000364,罗圏湾沟,38,1,20
39,F0302000365,沏底关沟,39,11,3.118181818
40,F0302000367,板棚子沟,40,1,20
41,F0302000368,长河坝沟,41,1,20
42,F0302000369,佛堂坝沟,42,4,11.55
43,F0302000371,白岩沟,43,1,20
44,F0302000372,长岩窝沟,44,1,20
45,F0302000374,桃关沟,45,1,20
46,F0302000376,碉头村沟,46,1,20
47,F0302000377,高店子村沟,47,1,20
48,F0302000381,大溪沟,48,1,20
49,F0302000386,登溪沟,49,1,20
50,F0302000391,板桥沟,50,1,20
51,F0302000392,七盘沟,51,26,2.234615385
52,F0302000395,板子沟,52,1,20
53,F0302000397,新桥沟,53,1,20
54,F0302000399,茨里组南沟,54,1,20
55,F0302000403,增坡村沟,55,1,20
56,F0302000411,茶园沟,56,3,8.466666667
57,F0302000419,桌石达沟,57,1,20
58,F0302000424,阿尔寨沟,58,1,20
59,F0302000426,枇杷墩子沟,59,1,20
60,F0302000584,无名沟,60,1,20
61,F0302000585,无名沟,61,1,20
62,F0302000586,无名沟,62,1,20
63,F0302000587,岷江大桥-磨子沟,63,1,20
64,F0302000674,苏村沟,64,1,20
65,F0302000675,一碗水村沟,65,1,20
66,F0302000676,东狱庙沟,66,1,20
67,F0302000677,新店沟,67,1,20
68,F0302000693,正沟,68,1,20
69,F0302000694,三道桥沟,69,1,20
70,F0302000695,卡子沟,70,1,20
71,F0302000696,无名沟,71,1,20
72,F0302000697,无名沟,72,1,20
73,F0302000698,无名沟,73,1,20
74,F0302000699,无名沟,74,1,20
75,F0302000700,无名沟,75,1,20
76,F0302000701,糍耙街沟,76,1,20
77,F0302000702,长林潘沟,77,1,20
78,F0302000703,无名沟,78,1,20
79,F0302000704,水石岩沟,79,1,20
80,F0302000705,无名沟,80,1,20
81,F0302000706,锅圈岩沟,81,1,20
82,F0302000707,王家沟,82,1,20
83,F0302000708,大水沟,83,8,21.575
84,F0302000709,无名沟,84,1,20
85,F0302000710,无名沟,85,1,20
86,F0302000711,上盐水沟,86,1,20
87,F0302000712,无名沟,87,1,20
88,F0302000713,羊香儿沟,88,1,20
89,F0302000714,磨子沟,89,1,20
90,F0302000715,红椿沟,90,4,29.35
91,F0302000751,立如菇沟,91,1,20
92,F0302000752,巴夺沟,92,1,20
93,F0302000753,阿尔村沟,93,1,20
94,F0302000754,次库沟,94,1,20
95,F0302000755,响水沟,95,1,20
96,F0302000756,地里沟,96,1,20
97,F0302000757,长河坝沟,97,1,20
98,F0302000758,树林口沟,98,1,20
99,F0302000759,码头村沟,99,1,20
100,F0302000760,广福寺沟,100,1,20
101,F0302000761,仰天湾沟,101,1,20
102,F0302000358,八一沟,102,1,20
103,F030200N003,脚木沟,103,1,20
104,F030200N004,肖家沟,104,1,20
105,F030200N005,古溪沟,105,1,20
